year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Austria,0.506,0.522782175,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Austria,0.094,0.268432957,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Austria,0.018,0.077688746,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Austria,0.028,0.107010621,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Austria,0.308,0.488937132,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,2,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,2.578,0.765935636,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,1.636,0.540007703,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,7.62,1.259407414,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,1.402,0.640809163,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,4.492,1.29785887,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,3.586,1.281021899,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,5.754,1.601152283,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,2.148,1.040391631,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,1.834,1.096622005,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,2.46,1.332963193,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,4.032,1.564474336,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Austria,1.432,1.057965265,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,1,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,1,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,1,0,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,5.106,0.889931418,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,0.656,0.467531129,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,1.064,0.679334672,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,1.042,0.68262282,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,0.984,0.795080501,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,0.25,0.476827612,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,0.764,0.867209987,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,0.526,0.651437968,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,1.158,1.074542991,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Australia,1.788,1.681138264,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,20,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,38,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,18.876,0.737901083,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,26.742,1.169888788,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,29.682,1.836317134,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,31.754,2.637882003,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,34.514,3.127661802,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,39.092,3.676985634,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,50.272,4.334921996,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,70.614,5.262642683,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,106.718,6.665189376,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,98.332,7.824787533,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,53.978,6.138447611,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,62.128,9.045991385,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,73.84,23.51345007,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,68.856,13.18411673,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Australia,94.556,25.48854529,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,22,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,10,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,4.232,0.534060844,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,6.328,0.449649124,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,12.47,0.465927592,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,10.152,0.956734407,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,5.578,0.906523693,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,8.144,1.149017997,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,7.712,1.180779158,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,4.678,0.90914534,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,12.008,1.772296727,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,18.152,2.472243941,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,25.562,3.264279912,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,14.434,2.352790585,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,15.662,2.937433226,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,4.654,1.674225463,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Australia,15.31,2.680646933,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,32,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,42,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,40.29,1.475300106,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,36.526,1.720909427,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,40.386,1.644628925,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,29.368,1.899608092,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,36.69,3.027206765,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,51.808,3.645676135,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,53.01,3.97457354,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,87.186,5.705287278,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,100.374,5.899460866,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,81.644,6.005270265,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,51.232,5.409454434,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,44.942,5.882815763,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,44.652,6.902517733,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,44.056,9.750693793,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Australia,40.532,9.350519199,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,149,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,167.176,0.377836392,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,109.582,1.287356091,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,134.68,2.114692474,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,117.686,2.72519209,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,104.488,4.729256375,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,111.762,6.448037423,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,152.816,9.571367132,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,147,8.90430727,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,159.556,9.609341086,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,129.548,8.604756375,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,178.286,12.18921532,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,147.74,11.26754074,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,143.63,10.60071088,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,107.372,9.250548867,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,106.866,9.622545632,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Australia,119.204,11.40339773,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,412,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,425.844,0.689723878,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,408.17,3.22274013,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,392.95,7.449268453,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,373.08,10.46551768,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,430.736,14.39270018,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,347.092,15.14928591,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,395.688,17.27646582,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,631.552,31.03818355,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,858.242,36.53497451,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,1178.224,44.00566445,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,1031.29,50.39391531,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,469.844,35.34463541,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,441.822,38.40304717,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,475.996,53.80821342,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,435.534,58.35990347,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,454.6,111.5679273,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1145,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1181.142,1.148829723,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1015.102,4.961223406,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,998.822,9.135390056,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,956.868,11.18332284,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1097.366,15.01813236,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1251.254,24.23449013,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1230.45,27.6523632,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1100.134,26.08129771,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1322.792,30.37492289,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,2581.376,47.70268037,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1367.294,36.18160766,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1088.89,32.60278139,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1085.692,37.41435223,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,996.172,46.3593136,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,1003.33,38.84295916,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Australia,917.472,55.42856776,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Aruba,0.66,0.472933176,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Aruba,0.006,0.03,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Aruba,0.676,0.468479238,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Aruba,0.044,0.150582822,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Aruba,0.01,0.05,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Aruba,0.01,0.043844373,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Azerbaijan,1,0,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Azerbaijan,0.002,0.01,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Azerbaijan,0.082,0.206852873,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Azerbaijan,0.004,0.02,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Azerbaijan,0.018,0.077688746,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Azerbaijan,0.914,0.261072096,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Azerbaijan,0.034,0.136397033,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Azerbaijan,0.022,0.095829216,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Azerbaijan,1,0,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Azerbaijan,0.286,0.43483293,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Azerbaijan,0.064,0.200916771,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Azerbaijan,0.788,0.404164109,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Azerbaijan,0.004,0.02,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Azerbaijan,0.292,0.46516623,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bosnia and Herzegovina,0.006,0.03,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bosnia and Herzegovina,1.87,0.345922524,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bosnia and Herzegovina,0.842,0.716947966,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bosnia and Herzegovina,0.004,0.013844373,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bosnia and Herzegovina,0.002,0.01,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bosnia and Herzegovina,2,0,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bosnia and Herzegovina,0.89,0.287805789,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bosnia and Herzegovina,0.976,0.66399495,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bosnia and Herzegovina,0.548,0.491061979,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bosnia and Herzegovina,0.186,0.373780884,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bosnia and Herzegovina,0.216,0.371544243,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Bosnia and Herzegovina,0.002,0.01,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bosnia and Herzegovina,1,0,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bosnia and Herzegovina,0.764,0.421392482,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bosnia and Herzegovina,0.192,0.376567402,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Barbados,0.048,0.165532817,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Barbados,0.096,0.248865481,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Barbados,1,0,Final
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Barbados,0.648,0.465087501,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Barbados,0.618,0.46177799,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Barbados,0.052,0.166573902,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Barbados,0.012,0.053844373,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Barbados,0.002,0.01,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Barbados,0.048,0.133643276,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Barbados,0.156,0.35447568,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Barbados,0.812,0.381034503,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Barbados,1.136,0.563057536,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Barbados,0.162,0.374263083,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Barbados,0.008,0.04,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Bangladesh,1,0,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Bangladesh,0.298,0.437675706,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Bangladesh,0.016,0.067688746,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Bangladesh,0.01,0.036583124,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,3,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,4,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,1,0,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,0.128,0.320826976,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,0.068,0.165043296,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,1.066,0.495915085,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,1.728,0.452543037,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,1.186,0.786388596,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,0.008,0.04,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,0.03,0.095718908,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,0.356,0.481887941,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bangladesh,0.012,0.046583124,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,19,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,3,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,1,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,4,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,4,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,8.162,0.693136846,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,0.98,0.086583124,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,1.946,0.1910964,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,4.152,0.5656074,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,0.944,0.172543438,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,4.6,0.950523826,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,6.63,0.982737377,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,1.25,0.561380773,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,1.464,0.612005079,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,3.18,0.779623051,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bangladesh,3.84,0.892918575,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,24,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,14,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,7,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,9,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,6,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,10.904,0.414463562,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,5.536,0.897695565,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,16.382,1.023854286,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,9.304,0.772752912,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,5.698,0.530878508,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,4.858,0.715491574,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,11.348,1.305459486,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,5.16,1.034878272,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,5.106,1.14965855,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,4.292,1.085796919,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,7.14,1.343559685,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bangladesh,5.542,1.857275945,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,2,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,2,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,1,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,1.29,0.434201518,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,0.952,0.173407654,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,2.822,0.39931273,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,4.468,0.694373142,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,0.884,0.307756334,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,2.304,0.706272077,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,0.012,0.06,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,1.222,0.665711226,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,2.384,0.953161846,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,1.29,0.662362625,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bangladesh,2.564,1.108900889,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Bangladesh,0.004,0.02,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,4,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,2,0,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,0.694,0.459561463,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,1.288,0.661545155,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,0.056,0.191081318,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,0.518,0.495776866,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,1.514,0.841759695,Provisional
